Year,exporter_key,exporter_name,exporter_address,exporter_city,exporter_state,exporter_country,exporterLAT,exporterLONG,hazWasteDesc,un,totalQuantityinShipment,units_final,phase,ExpectedManagementMethod,mgmt,ReceivingFacilityEPAIDNumber,importer_name,importer_address,importer_city,importer_state,receivingfacilityzipcode,latitude,longitude
2010,E0A06029,CRITERION CATALYSTS AND TECHNOLOGIES,2159 BRIER PARK PLACE NW,MEDICINE HAT,ALBERTA,CANADA,50.06029,-110.72193,"Environmentally hazardous substances, solid, n.o.s.",UN3077,73550,kg,solid,Metals recovery,H010,OHD042319244,AMG VANADIUM,60790 SOUTHGATE RD,CAMBRIDGE,OH,43725,39.9935799,-81.5667114
2010,E0A06029,CRITERION CATALYSTS AND TECHNOLOGIES,2159 BRIER PARK PLACE NW,MEDICINE HAT,ALBERTA,CANADA,50.06029,-110.72193,"Environmentally hazardous substances, solid, n.o.s.",UN3077,79980,kg,solid,Metals recovery,H010,OHD042319244,AMG VANADIUM,60790 SOUTHGATE RD,CAMBRIDGE,OH,43725,39.9935799,-81.5667114
2010,E0A06029,CRITERION CATALYSTS AND TECHNOLOGIES,2159 BRIER PARK PLACE NW,MEDICINE HAT,ALBERTA,CANADA,50.06029,-110.72193,"Environmentally hazardous substances, solid, n.o.s.",UN3077,80080,kg,solid,Metals recovery,H010,OHD042319244,AMG VANADIUM,60790 SOUTHGATE RD,CAMBRIDGE,OH,43725,39.9935799,-81.5667114
2010,E0A06029,CRITERION CATALYSTS AND TECHNOLOGIES,2159 BRIER PARK PLACE NW,MEDICINE HAT,ALBERTA,CANADA,50.06029,-110.72193,"Environmentally hazardous substances, solid, n.o.s.",UN3077,77740,kg,solid,Metals recovery,H010,OHD042319244,AMG VANADIUM,60790 SOUTHGATE RD,CAMBRIDGE,OH,43725,39.9935799,-81.5667114
2010,E0A06029,CRITERION CATALYSTS AND TECHNOLOGIES,2159 BRIER PARK PLACE NW,MEDICINE HAT,ALBERTA,CANADA,50.06029,-110.72193,"Environmentally hazardous substances, solid, n.o.s.",UN3077,78990,kg,solid,Metals recovery,H010,OHD042319244,AMG VANADIUM,60790 SOUTHGATE RD,CAMBRIDGE,OH,43725,39.9935799,-81.5667114
2010,E0A06029,CRITERION CATALYSTS AND TECHNOLOGIES,2159 BRIER PARK PLACE NW,MEDICINE HAT,ALBERTA,CANADA,50.06029,-110.72193,"Environmentally hazardous substances, solid, n.o.s.",UN3077,80800,kg,solid,Metals recovery,H010,OHD042319244,AMG VANADIUM,60790 SOUTHGATE RD,CAMBRIDGE,OH,43725,39.9935799,-81.5667114
2010,E0A06029,CRITERION CATALYSTS AND TECHNOLOGIES,2159 BRIER PARK PLACE NW,MEDICINE HAT,ALBERTA,CANADA,50.06029,-110.72193,"Environmentally hazardous substances, solid, n.o.s.",UN3077,80739,kg,solid,Metals recovery,H010,OHD042319244,AMG VANADIUM,60790 SOUTHGATE RD,CAMBRIDGE,OH,43725,39.9935799,-81.5667114
2010,E0A06029,CRITERION CATALYSTS AND TECHNOLOGIES,2159 BRIER PARK PLACE NW,MEDICINE HAT,ALBERTA,CANADA,50.06029,-110.72193,"Environmentally hazardous substances, solid, n.o.s.",UN3077,77410,kg,solid,Metals recovery,H010,OHD042319244,AMG VANADIUM,60790 SOUTHGATE RD,CAMBRIDGE,OH,43725,39.9935799,-81.5667114
2010,E0A06029,CRITERION CATALYSTS AND TECHNOLOGIES,2159 BRIER PARK PLACE NW,MEDICINE HAT,ALBERTA,CANADA,50.06029,-110.72193,"Environmentally hazardous substances, solid, n.o.s.",UN3077,79220,kg,solid,Metals recovery,H010,OHD042319244,AMG VANADIUM,60790 SOUTHGATE RD,CAMBRIDGE,OH,43725,39.9935799,-81.5667114
2010,E0A06029,CRITERION CATALYSTS AND TECHNOLOGIES,2159 BRIER PARK PLACE NW,MEDICINE HAT,ALBERTA,CANADA,50.06029,-110.72193,"Environmentally hazardous substances, solid, n.o.s.",UN3077,81210,kg,solid,Metals recovery,H010,OHD042319244,AMG VANADIUM,60790 SOUTHGATE RD,CAMBRIDGE,OH,43725,39.9935799,-81.5667114
2010,E3A49812,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981162,-79.626647,"Dimethylamine, anhydrous",UN1032,3,kg,solid,Neutralization only,H121,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571,29.708084,-95.090553
